Material_Type,Tensile_Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,Moisture_Barrier_Grade,AI_Recommendation
Virgin Plastic (PP),88.5,2.3,0.8,4.13,27.4,10,Avoid
Edible Seaweed Film,11.8,4.2,100,0.22,7.4,3,Consider as Option
Virgin Plastic (PP),78.9,5.9,2.3,4.75,16.7,10,Avoid
Mushroom Mycelium,14.7,9,100,0.17,100,5,Highly Recommended
Edible Seaweed Film,12,7.6,100,0.42,0.7,3,Consider as Option
Bagasse (Sugarcane),23.1,7.2,97.3,1.2,58.6,7,Highly Recommended
Edible Seaweed Film,14.3,9,100,0.3,5.7,4,Consider as Option
Recycled Cardboard,15.8,9.6,94.3,1.13,86.4,4,Highly Recommended
Aluminum Foil,32.8,0.6,0,11.73,96.5,10,Avoid
Bioplastic (PLA),67.6,1.4,88.8,2.24,58.2,8,Highly Recommended
Virgin Plastic (PP),76.1,8.2,1.1,5.84,24.2,10,Avoid
Virgin Plastic (PP),69.7,8.5,2.1,3.79,30,10,Avoid
Edible Seaweed Film,14.2,5.7,100,0.54,8.1,4,Consider as Option
Edible Seaweed Film,11.3,4.3,100,0.34,7,2,Consider as Option
Edible Seaweed Film,7.1,8.5,100,0.39,8.5,3,Consider as Option
Bagasse (Sugarcane),34,6.6,97.8,1.1,68.1,7,Highly Recommended
Bioplastic (PLA),56.5,6.9,91.2,2.33,42.4,8,Consider as Option
Mushroom Mycelium,18.7,5.1,100,0.24,100,5,Highly Recommended
Bamboo Fiber,55.5,3.8,98.6,0.92,39,7,Highly Recommended
Bagasse (Sugarcane),26,5.6,99.6,1.3,62.2,7,Highly Recommended
Bagasse (Sugarcane),27.7,8.8,96,1.12,54.8,6,Highly Recommended
Virgin Plastic (PP),80,2.4,3.7,4.72,10.8,10,Avoid
Bagasse (Sugarcane),31.7,0.8,97,1.31,66.9,5,Highly Recommended
Mushroom Mycelium,24.1,5.7,100,0.12,100,4,Highly Recommended
Bagasse (Sugarcane),23.2,5.3,99,1.32,59.7,7,Highly Recommended
Recycled Cardboard,28.4,6,98.1,0.89,84,5,Highly Recommended
Mushroom Mycelium,15.7,0.9,100,0.13,100,4,Highly Recommended
Bamboo Fiber,55.1,8,98.7,0.5,42.6,8,Highly Recommended
Virgin Plastic (PP),69.7,1.8,2,5.03,24.3,10,Avoid
Bamboo Fiber,49.5,2.1,96.8,0.75,40.6,6,Highly Recommended
Edible Seaweed Film,5.3,9.8,100,0.39,3.8,2,Consider as Option
Virgin Plastic (PP),74.4,3.7,4.7,4.98,17.5,10,Avoid
Bamboo Fiber,54.6,3.4,95.2,0.63,33.6,6,Highly Recommended
Aluminum Foil,44.6,7.2,0,11.51,91.7,10,Avoid
Bamboo Fiber,58.1,1.1,96.1,1.14,45.5,7,Highly Recommended
Recycled Cardboard,30.7,10,94.1,1.03,87.4,3,Highly Recommended
Recycled Cardboard,26.4,6.8,91,1.09,97.6,4,Highly Recommended
Edible Seaweed Film,13.5,3.4,100,0.42,7.5,4,Consider as Option
Aluminum Foil,34.1,8.5,0,10.5,90,10,Avoid
Bamboo Fiber,55.7,3.7,99.7,0.85,35.2,6,Highly Recommended
Bagasse (Sugarcane),23,3,98.1,1.24,54.9,7,Highly Recommended
Aluminum Foil,31.9,5.2,0,10.72,93,10,Avoid
Virgin Plastic (PP),71.7,3,1.6,5.88,13.3,10,Avoid
Recycled Cardboard,34.4,2.1,91.9,0.83,87.8,5,Highly Recommended
Bamboo Fiber,42.4,0.7,99,0.58,33.9,7,Highly Recommended
Bamboo Fiber,59.5,1.1,97.5,0.67,47.8,7,Highly Recommended
Bioplastic (PLA),55.6,4.1,90.2,1.61,55.7,9,Highly Recommended
Edible Seaweed Film,13.2,0.9,100,0.58,9.7,2,Consider as Option
Edible Seaweed Film,8.2,8.3,100,0.23,8,3,Consider as Option
Mushroom Mycelium,11.7,9.1,100,0.38,100,5,Highly Recommended
Recycled Cardboard,19.2,8.6,94.1,1.38,85.4,5,Highly Recommended
Bamboo Fiber,41.6,3.8,98.6,0.73,44.6,6,Highly Recommended
Mushroom Mycelium,21.2,4.8,100,0.35,100,6,Highly Recommended
Bamboo Fiber,59.6,1.4,97.3,0.78,32.7,6,Highly Recommended
Bioplastic (PLA),54.7,7.3,84.4,2.28,59.9,9,Highly Recommended
Bioplastic (PLA),58.3,1.4,82.8,1.77,42.3,9,Highly Recommended
Aluminum Foil,26.9,2.1,0,10.73,93.5,10,Avoid
Mushroom Mycelium,18.1,8,100,0.22,100,6,Highly Recommended
Bagasse (Sugarcane),30.9,3.6,99.8,1.11,64.5,7,Highly Recommended
Virgin Plastic (PP),66.3,4.4,2.3,5.33,10.1,10,Avoid
Aluminum Foil,25.6,9.7,0,8.79,97.1,10,Avoid
Aluminum Foil,34.4,4.3,0,11.62,95.1,10,Avoid
Mushroom Mycelium,14,4.4,100,0.35,100,6,Highly Recommended
Aluminum Foil,21.7,10,0,11.83,91,10,Avoid
Edible Seaweed Film,6.4,9.7,100,0.58,1.1,4,Consider as Option
Mushroom Mycelium,23.4,5.6,100,0.21,100,6,Highly Recommended
Bamboo Fiber,46.2,2.6,98.6,1.1,38.4,7,Highly Recommended
Bamboo Fiber,44.5,1.8,95.2,0.98,33.5,6,Highly Recommended
Mushroom Mycelium,17.4,7.9,100,0.11,100,6,Highly Recommended
Bioplastic (PLA),65.5,5.9,82.8,2.06,51.5,9,Highly Recommended
Recycled Cardboard,27.4,1.4,93.8,0.94,80.2,5,Highly Recommended
Mushroom Mycelium,16.4,8.2,100,0.27,100,5,Highly Recommended
Bagasse (Sugarcane),37.1,5.6,96.3,1.18,67.3,7,Highly Recommended
Virgin Plastic (PP),62.7,8.7,1.1,5.63,18.9,10,Avoid
Bagasse (Sugarcane),32.6,7.1,99,1.23,61,6,Highly Recommended
Bagasse (Sugarcane),34.2,6.2,95.7,1.33,55.4,5,Highly Recommended
Virgin Plastic (PP),75.3,0.5,4,3.84,27.8,10,Avoid
Virgin Plastic (PP),67.3,6.4,0.3,4.84,25.6,10,Avoid
Mushroom Mycelium,15.8,9.3,100,0.19,100,6,Highly Recommended
Aluminum Foil,43.6,8.2,0,11.18,95,10,Avoid
Bioplastic (PLA),64.9,9.6,92.4,1.64,54.1,9,Highly Recommended
Bamboo Fiber,58.3,7.3,99.8,0.5,38.5,8,Highly Recommended
Recycled Cardboard,29.2,8.3,95.5,1.01,90.3,5,Highly Recommended
Aluminum Foil,41.1,8.3,0,9.08,93.9,10,Avoid
Virgin Plastic (PP),71.3,2.2,2.8,5.88,11.3,10,Avoid
Virgin Plastic (PP),74.7,4.4,2.6,5.09,15.3,10,Avoid
Edible Seaweed Film,12.5,5.8,100,0.48,0.8,4,Consider as Option
Virgin Plastic (PP),68.6,2.4,1.7,3.72,16.5,10,Avoid
Edible Seaweed Film,6.7,9.5,100,0.43,7.3,3,Consider as Option
Aluminum Foil,28.2,9.1,0,11.36,94.7,10,Avoid
Aluminum Foil,21.2,8.8,0,8.6,91.3,10,Avoid
Recycled Cardboard,18.4,7.4,96.2,1.4,86.1,5,Highly Recommended
Mushroom Mycelium,14.7,4.8,100,0.13,100,6,Highly Recommended
Aluminum Foil,29.7,9.6,0,9.43,95.5,10,Avoid
Recycled Cardboard,27.3,8.1,92.3,1.13,94.7,4,Highly Recommended
Virgin Plastic (PP),84.3,9.4,1.2,5.76,27.8,10,Avoid
Aluminum Foil,31.6,7.2,0,9.28,100,10,Avoid
Virgin Plastic (PP),80.2,8.4,0.5,4.84,28.6,10,Avoid
Bioplastic (PLA),70.1,3.1,81.4,1.79,53.9,9,Highly Recommended
Recycled Cardboard,32.5,7.6,96.2,0.87,87.9,3,Highly Recommended
Aluminum Foil,41.2,6.4,0,8.79,93.9,10,Avoid
Recycled Cardboard,28.5,3,91,0.9,82.6,3,Highly Recommended
Virgin Plastic (PP),68.1,4.6,3.9,5.08,16.5,10,Avoid
Edible Seaweed Film,13.9,3.1,100,0.53,4.6,2,Consider as Option
Bioplastic (PLA),52.8,6.2,83.1,2.14,52.7,9,Highly Recommended
Bagasse (Sugarcane),32,0.6,98.1,1.12,66.5,7,Highly Recommended
Bamboo Fiber,43.9,4.7,96,1.09,44.8,8,Highly Recommended
Bagasse (Sugarcane),23.5,8.3,95.9,1.03,64,5,Highly Recommended
Bioplastic (PLA),59.7,8.6,94.8,2.46,50.5,9,Highly Recommended
Bioplastic (PLA),64.3,6.6,88.2,2.32,57.1,9,Highly Recommended
Bamboo Fiber,41.5,9.2,98.4,0.9,36.9,8,Highly Recommended
Recycled Cardboard,16.6,5.2,99.5,1.23,86.3,5,Highly Recommended
Bagasse (Sugarcane),25.4,8,97.4,1.08,50.4,5,Highly Recommended
Bioplastic (PLA),70.1,5.1,88.9,2.11,57.9,9,Highly Recommended
Bioplastic (PLA),58.1,5.1,90.2,1.64,46.9,8,Highly Recommended
Edible Seaweed Film,12.4,1.3,100,0.21,4.9,3,Consider as Option
Bamboo Fiber,44.3,6.7,96.5,0.59,42.5,6,Highly Recommended
Bamboo Fiber,47.2,1.7,96.4,0.84,31,6,Highly Recommended
Mushroom Mycelium,12.2,5,100,0.33,100,4,Highly Recommended
Virgin Plastic (PP),66.3,3.6,3.4,3.8,27,10,Avoid
Edible Seaweed Film,12.1,3.5,100,0.38,1.9,4,Consider as Option
Bioplastic (PLA),57,3.2,85.5,1.61,40.3,9,Highly Recommended
Edible Seaweed Film,9.8,7.7,100,0.22,6.5,3,Consider as Option
Bagasse (Sugarcane),34.9,5.6,96.5,0.91,62.3,5,Highly Recommended
Edible Seaweed Film,9.6,0.6,100,0.55,6,4,Consider as Option
Recycled Cardboard,22.5,8.2,90.6,1,84,3,Highly Recommended
Bioplastic (PLA),67.1,9.5,82.8,2.45,59.7,8,Consider as Option
Recycled Cardboard,34.5,8.3,94.3,1.15,87,5,Highly Recommended
Aluminum Foil,34.7,4.3,0,8.9,97,10,Avoid
Mushroom Mycelium,18.5,3.4,100,0.15,100,5,Highly Recommended
Bioplastic (PLA),69.3,3.5,89.9,2.36,40.6,8,Consider as Option
Bioplastic (PLA),62.1,6.8,86.1,2.2,53.9,9,Highly Recommended
Edible Seaweed Film,7.6,5,100,0.35,3.6,2,Consider as Option
Bamboo Fiber,54.8,1,98.1,1.13,31.3,8,Highly Recommended
Bioplastic (PLA),62.2,8.5,92.5,2.02,48.4,8,Highly Recommended
Bioplastic (PLA),72.2,7.6,87.1,1.77,41.7,8,Highly Recommended
Bioplastic (PLA),59.2,1.3,83.8,1.67,53.2,9,Highly Recommended
Mushroom Mycelium,24.5,3.4,100,0.26,100,5,Highly Recommended
Bioplastic (PLA),64.3,8.7,86.3,1.91,52.8,8,Highly Recommended
Aluminum Foil,41.5,7.6,0,11.79,92.6,10,Avoid
Virgin Plastic (PP),63.4,3.5,2.4,4.3,26.7,10,Avoid
Virgin Plastic (PP),68.9,9.6,3.1,5.01,15.7,10,Avoid
Bamboo Fiber,51.6,2.9,97.4,0.76,40.6,8,Highly Recommended
Virgin Plastic (PP),65.2,4.8,2.7,4.22,25.7,10,Avoid
Mushroom Mycelium,17.3,2.6,100,0.28,100,5,Highly Recommended
Recycled Cardboard,15.3,5.4,95.3,1.45,82.6,4,Highly Recommended
Aluminum Foil,36.8,6.5,0,11.59,92.2,10,Avoid
Bagasse (Sugarcane),24.8,2.7,97.7,1.05,57.8,5,Highly Recommended
Bamboo Fiber,50,2.3,99,1.1,33.3,6,Highly Recommended
Mushroom Mycelium,19.1,4.1,100,0.4,100,5,Highly Recommended
Recycled Cardboard,30.8,4.9,91.6,0.94,85.3,3,Highly Recommended
Aluminum Foil,21.9,4.8,0,9.04,93.9,10,Avoid
Bioplastic (PLA),51.3,7.8,85.2,1.93,47.7,9,Highly Recommended
Bagasse (Sugarcane),22.7,8.2,100,1.38,68,6,Highly Recommended
Edible Seaweed Film,6.1,3.9,100,0.21,6.7,4,Consider as Option
Aluminum Foil,31.7,2.8,0,10.2,97.6,10,Avoid
Edible Seaweed Film,11.8,0.6,100,0.47,9.5,3,Consider as Option
Recycled Cardboard,18.8,4.3,93.2,0.87,81.7,4,Highly Recommended
Bamboo Fiber,42.2,4.5,99,0.55,42,6,Highly Recommended
Aluminum Foil,21.8,1.1,0,10.55,99.3,10,Avoid
Recycled Cardboard,30.7,0.5,93.5,0.83,89,4,Highly Recommended
Bamboo Fiber,48.8,1.6,95.5,0.5,46.7,6,Highly Recommended
Bioplastic (PLA),56.3,1.4,83.8,1.98,51.9,9,Highly Recommended
Edible Seaweed Film,10.7,2.4,100,0.37,6.1,2,Consider as Option
Bagasse (Sugarcane),21.6,6.6,95.8,1.05,54.3,5,Highly Recommended
Bioplastic (PLA),67,1.6,82.3,2.33,51,8,Consider as Option
Virgin Plastic (PP),76.9,3.5,1.2,4.05,25.2,10,Avoid
Virgin Plastic (PP),88.2,4.5,3.3,5.44,12.6,10,Avoid
Recycled Cardboard,27.3,8.5,98.6,1.39,85.7,3,Highly Recommended
Bioplastic (PLA),61.4,7.6,85.7,1.57,44.5,9,Highly Recommended
Edible Seaweed Film,9.5,7.7,100,0.53,8.6,3,Consider as Option
Edible Seaweed Film,7.4,7.4,100,0.25,5.9,4,Consider as Option
Bamboo Fiber,40.2,2.6,99.5,0.63,35.5,6,Highly Recommended
Recycled Cardboard,30,3.4,95.6,1.08,86.2,4,Highly Recommended
Mushroom Mycelium,21.3,7.2,100,0.39,100,6,Highly Recommended
Aluminum Foil,37,6.6,0,10.51,91.3,10,Avoid
Bioplastic (PLA),71.1,2.1,87.5,1.72,58.7,9,Highly Recommended
Bagasse (Sugarcane),26.5,2,96.3,1.17,57,6,Highly Recommended
Aluminum Foil,31.8,7.8,0,11.08,93.8,10,Avoid
Bioplastic (PLA),63,9.3,81.1,1.77,45.4,9,Highly Recommended
Aluminum Foil,24,2.1,0,8.23,92.1,10,Avoid
Mushroom Mycelium,15.2,8.3,100,0.25,100,6,Highly Recommended
Virgin Plastic (PP),88.4,9,3.3,5.67,19.5,10,Avoid
Bagasse (Sugarcane),38.1,1.1,95.4,0.95,68,7,Highly Recommended
Bioplastic (PLA),61.2,7.1,84.3,2.07,40.3,9,Consider as Option
Bioplastic (PLA),69,4.6,85.8,1.75,47.6,9,Highly Recommended
Bamboo Fiber,45.5,4.1,97,0.67,33,6,Highly Recommended
Bamboo Fiber,52.7,1.6,96.9,1.12,33.8,8,Highly Recommended
Mushroom Mycelium,17.4,3.4,100,0.39,100,5,Highly Recommended
Bagasse (Sugarcane),32.3,0.7,99.5,1.25,50.8,6,Highly Recommended
Virgin Plastic (PP),77.3,1.9,1.9,3.77,14.7,10,Avoid
Recycled Cardboard,22,6,97.6,1.42,98,3,Highly Recommended
Mushroom Mycelium,14.2,6.5,100,0.18,100,5,Highly Recommended
Recycled Cardboard,16,6,97.5,1.1,83.8,3,Highly Recommended
Edible Seaweed Film,7.2,5.3,100,0.57,4.9,4,Consider as Option
Aluminum Foil,39.5,5.5,0,8.71,91.3,10,Avoid
Aluminum Foil,31.8,8.2,0,8.64,97.2,10,Avoid
Bioplastic (PLA),71.6,3.7,80.6,2.43,43.6,8,Consider as Option
Bamboo Fiber,44.9,5.8,98.9,0.94,34.3,6,Highly Recommended
Bioplastic (PLA),52.4,6.9,91.8,2.38,57.6,9,Highly Recommended
Bagasse (Sugarcane),28.1,4.3,99.9,1.36,64.5,5,Highly Recommended
Bamboo Fiber,41,7.8,99.3,0.66,30.6,6,Highly Recommended
Bamboo Fiber,51.2,1,98.3,0.56,42.1,8,Highly Recommended
Virgin Plastic (PP),67.6,6.6,1.8,5.4,18,10,Avoid
Bioplastic (PLA),71.9,7.7,94.4,2.5,41.3,8,Consider as Option
Bamboo Fiber,53,5.5,99.2,1.2,43.8,8,Highly Recommended
Mushroom Mycelium,13.7,5.5,100,0.15,100,4,Highly Recommended
Bamboo Fiber,42,9.3,96.1,0.8,36.6,6,Highly Recommended
Edible Seaweed Film,7.3,2.1,100,0.5,2.6,4,Consider as Option
Bagasse (Sugarcane),35.7,7.5,99.7,0.98,65.6,5,Highly Recommended
Virgin Plastic (PP),71.1,7.8,3.7,5.98,22.4,10,Avoid
Recycled Cardboard,20.1,1.9,97.7,1.22,91,3,Highly Recommended
Recycled Cardboard,18,8.8,94.2,1.1,97.7,5,Highly Recommended
Edible Seaweed Film,8.8,6.1,100,0.56,3.5,2,Consider as Option
Bamboo Fiber,42.1,1.9,96.2,0.93,34.1,6,Highly Recommended
Bagasse (Sugarcane),33.3,6.7,97.6,0.98,68.6,6,Highly Recommended
Recycled Cardboard,22.1,3.2,99.1,0.86,98,5,Highly Recommended
Bioplastic (PLA),66.5,6.7,92.3,2.37,41.4,8,Consider as Option
Bagasse (Sugarcane),25.8,3,96.1,1.23,51.3,5,Highly Recommended
Mushroom Mycelium,20,0.9,100,0.34,100,5,Highly Recommended
Aluminum Foil,35.7,2.8,0,8.6,97.8,10,Avoid
Edible Seaweed Film,6.7,6.3,100,0.54,9.4,4,Consider as Option
Aluminum Foil,30.2,4.1,0,8.81,94,10,Avoid
Mushroom Mycelium,14.3,0.8,100,0.15,100,4,Highly Recommended
Recycled Cardboard,33.9,9.5,92.1,0.82,82.8,4,Highly Recommended
Mushroom Mycelium,24.8,4.6,100,0.36,100,4,Highly Recommended
Bioplastic (PLA),50.8,1.9,81.6,1.75,49.5,8,Consider as Option
Recycled Cardboard,26.8,6.8,99.2,1.02,81.9,5,Highly Recommended
Edible Seaweed Film,6.3,8.6,100,0.41,4.5,3,Consider as Option
Edible Seaweed Film,10,7,100,0.22,7.6,2,Consider as Option
Virgin Plastic (PP),75,9,0.2,4.9,26.9,10,Avoid
Edible Seaweed Film,14.6,4.3,100,0.2,1.2,4,Consider as Option
Recycled Cardboard,27.4,6.2,96.1,1.44,91.4,3,Highly Recommended
Aluminum Foil,20.7,5,0,10.56,91.1,10,Avoid
Bioplastic (PLA),72.3,3.9,84.2,2.02,43.8,8,Consider as Option
Aluminum Foil,25.2,0.8,0,10.49,96,10,Avoid
Mushroom Mycelium,11.9,5.8,100,0.24,100,4,Highly Recommended
Bioplastic (PLA),60,8.7,93.9,2.04,51.2,9,Highly Recommended
Edible Seaweed Film,5.4,6.7,100,0.49,4.1,4,Consider as Option
Recycled Cardboard,16.9,6.3,95.7,1.27,81.5,4,Highly Recommended
Mushroom Mycelium,12.9,6.9,100,0.2,100,6,Highly Recommended
Bagasse (Sugarcane),27.3,9.8,97.4,1.11,63.7,6,Highly Recommended
Edible Seaweed Film,10.9,4.4,100,0.22,3.8,2,Consider as Option
Bioplastic (PLA),59.3,8.3,91.4,1.5,53.4,9,Highly Recommended
Mushroom Mycelium,11.5,8.2,100,0.15,100,5,Highly Recommended
Recycled Cardboard,25.1,1.8,97.7,1.06,93.5,3,Highly Recommended
Bagasse (Sugarcane),30,1.9,97,1.25,62,6,Highly Recommended
Virgin Plastic (PP),76.2,4.1,4.4,5.99,29.3,10,Avoid
Aluminum Foil,44.9,6.1,0,10.92,91,10,Avoid
Bamboo Fiber,41.1,8.1,97.4,0.55,43.8,6,Highly Recommended
Aluminum Foil,29.4,2.9,0,8.43,93.9,10,Avoid
Bioplastic (PLA),56,0.5,92.2,2.28,41.7,9,Highly Recommended
Edible Seaweed Film,6.7,4.9,100,0.31,1.6,2,Consider as Option
Bagasse (Sugarcane),36.6,8.3,95.7,1.06,52.2,6,Highly Recommended
Edible Seaweed Film,5.6,1,100,0.21,7.6,4,Consider as Option
Virgin Plastic (PP),63.8,5,0.2,5.35,18.4,10,Avoid
Aluminum Foil,36,1.6,0,9.45,97.7,10,Avoid
Bamboo Fiber,44.9,5.3,95.5,1.09,36.6,8,Highly Recommended
Bagasse (Sugarcane),26.4,7.8,96.9,0.95,56.9,5,Highly Recommended
Edible Seaweed Film,6.8,7.9,100,0.42,1.3,3,Consider as Option
Mushroom Mycelium,19.2,6.4,100,0.29,100,6,Highly Recommended
Bioplastic (PLA),62.2,1.7,92.2,2.11,50.2,9,Highly Recommended
Bagasse (Sugarcane),23.5,10,99.5,1.24,55.4,6,Highly Recommended
Bioplastic (PLA),64.1,1.1,89.1,1.86,59,8,Highly Recommended
Mushroom Mycelium,14.8,6,100,0.35,100,5,Highly Recommended
Aluminum Foil,39.5,3.4,0,8.11,99.3,10,Avoid
Mushroom Mycelium,14.1,3.3,100,0.16,100,5,Highly Recommended
Bagasse (Sugarcane),35,3.5,97.5,1.04,66.1,7,Highly Recommended
Virgin Plastic (PP),66.6,6.5,1.4,5.46,11.9,10,Avoid
Aluminum Foil,25.5,4.8,0,10.31,92.8,10,Avoid
Bagasse (Sugarcane),31.7,3.5,99.6,1.24,65.8,6,Highly Recommended
Bamboo Fiber,49,0.6,98.3,1.04,30.4,6,Highly Recommended
Aluminum Foil,43.8,9.4,0,8.26,95.4,10,Avoid
Bagasse (Sugarcane),24,4.4,97.7,1.04,57.1,6,Highly Recommended
Recycled Cardboard,15,1.5,93.7,1.22,94.8,3,Highly Recommended
Bioplastic (PLA),51.3,1.7,91.4,1.61,47.4,8,Highly Recommended
Edible Seaweed Film,8.3,6,100,0.56,1.6,3,Consider as Option
Bamboo Fiber,41.8,8.2,99.8,0.81,43.8,7,Highly Recommended
Aluminum Foil,38.6,0.7,0,9.56,96.3,10,Avoid
Bamboo Fiber,47.1,3.1,97.2,1.17,34,6,Highly Recommended
Bamboo Fiber,57.6,5.9,96.1,1.09,34.1,8,Highly Recommended
Bioplastic (PLA),66.3,1.7,84.9,2.16,50.8,8,Consider as Option
Virgin Plastic (PP),65.8,6.5,0.5,5.78,27,10,Avoid
Bioplastic (PLA),66.8,6.4,82.5,1.87,47.3,9,Highly Recommended
Edible Seaweed Film,6.7,1.9,100,0.44,1.8,3,Consider as Option
Bioplastic (PLA),60.7,5.6,83.5,1.54,57.4,8,Highly Recommended
Aluminum Foil,21.7,3.6,0,8.33,93.7,10,Avoid
Aluminum Foil,29.3,8.6,0,10.63,91.6,10,Avoid
Bamboo Fiber,44.9,10,97.5,0.6,48.7,7,Highly Recommended
Aluminum Foil,26,2.1,0,8.03,91.9,10,Avoid
Mushroom Mycelium,23.4,9.3,100,0.22,100,5,Highly Recommended
Bioplastic (PLA),63.4,3.2,80.1,1.53,44.5,8,Consider as Option
Bamboo Fiber,53.1,9.1,98.8,0.78,33.6,7,Highly Recommended
Bioplastic (PLA),50.3,7.3,92.7,1.63,45.8,8,Highly Recommended
Bagasse (Sugarcane),28.6,1.1,99,1.11,64,5,Highly Recommended
Recycled Cardboard,26.7,7.1,90.9,1.19,95.4,5,Highly Recommended
Bagasse (Sugarcane),29.4,3.4,98.9,0.98,58.7,6,Highly Recommended
Recycled Cardboard,28.8,3.3,92.5,0.89,86.2,3,Highly Recommended
Recycled Cardboard,16.4,6.6,92.1,0.95,93.5,4,Highly Recommended
Edible Seaweed Film,12.1,6.2,100,0.22,8.9,4,Consider as Option
Bamboo Fiber,45.7,2.7,99.1,0.53,41.2,8,Highly Recommended
Aluminum Foil,20.2,8.7,0,11.01,91.2,10,Avoid
Edible Seaweed Film,11.5,9.9,100,0.22,1.7,2,Consider as Option
Recycled Cardboard,15.8,3.8,90.4,1,90.2,3,Highly Recommended
Recycled Cardboard,19.1,9.1,92.1,1.33,90.4,4,Highly Recommended
Edible Seaweed Film,11.4,3.8,100,0.34,2.1,4,Consider as Option
Bagasse (Sugarcane),35.5,7.1,98.5,1.18,57,6,Highly Recommended
Edible Seaweed Film,8.6,5.3,100,0.6,1.8,4,Consider as Option
Bioplastic (PLA),66.1,1.9,92.5,2.05,45,8,Highly Recommended
Mushroom Mycelium,23.4,4.4,100,0.2,100,6,Highly Recommended
Edible Seaweed Film,10.8,6.9,100,0.44,3.6,3,Consider as Option
Virgin Plastic (PP),83.1,7.9,0.1,5.6,15.5,10,Avoid
Bagasse (Sugarcane),36.2,3.5,98.9,1.07,68,7,Highly Recommended
Bamboo Fiber,52.7,3.3,96.4,0.71,44.8,7,Highly Recommended
Aluminum Foil,25.8,1.6,0,11.96,90.7,10,Avoid
Aluminum Foil,27.6,8.7,0,10.36,99.3,10,Avoid
Mushroom Mycelium,18.8,2.8,100,0.39,100,6,Highly Recommended
Edible Seaweed Film,9.7,5.4,100,0.26,1.6,3,Consider as Option
Mushroom Mycelium,10.1,0.7,100,0.32,100,6,Highly Recommended
Edible Seaweed Film,14.5,4.1,100,0.54,7.5,3,Consider as Option
Bagasse (Sugarcane),32.4,7.8,97.3,1.26,51,5,Highly Recommended
Aluminum Foil,35.4,6.6,0,8.47,91.5,10,Avoid
Aluminum Foil,38.4,7.1,0,11.53,90.9,10,Avoid
Mushroom Mycelium,19.8,6.7,100,0.1,100,5,Highly Recommended
Mushroom Mycelium,17.8,9.2,100,0.26,100,4,Highly Recommended
Virgin Plastic (PP),83.8,3.5,3,5.52,21.8,10,Avoid
Bagasse (Sugarcane),22.2,6.1,97.4,0.91,56.1,7,Highly Recommended
Edible Seaweed Film,9.4,6.7,100,0.32,6.8,3,Consider as Option
Edible Seaweed Film,8.2,7.8,100,0.38,8.2,3,Consider as Option
Recycled Cardboard,22.7,1.8,99.9,0.94,94.8,4,Highly Recommended
Aluminum Foil,28.9,7.8,0,9.98,97.1,10,Avoid
Bagasse (Sugarcane),36.3,1.9,98.1,1.29,55.2,7,Highly Recommended
Edible Seaweed Film,6.1,7.6,100,0.42,6.2,3,Consider as Option
Recycled Cardboard,15.1,0.9,97,1.4,86.4,3,Highly Recommended
Virgin Plastic (PP),65.3,2.6,1.6,4.56,20.7,10,Avoid
Bioplastic (PLA),65.2,8.7,85.8,2.27,42.2,8,Consider as Option
Bagasse (Sugarcane),25.4,4.2,97.8,0.95,50.6,6,Highly Recommended
Edible Seaweed Film,6.4,1.8,100,0.53,7.5,4,Consider as Option
Bamboo Fiber,54,10,95.8,1.01,44.6,6,Highly Recommended
Bamboo Fiber,44.3,8.8,95.1,1.06,33.2,8,Highly Recommended
Edible Seaweed Film,9.8,1.5,100,0.5,3.8,2,Consider as Option
Virgin Plastic (PP),62.9,8.4,2.7,4.29,12.8,10,Avoid
Edible Seaweed Film,6.9,6.1,100,0.42,6,3,Consider as Option
Bamboo Fiber,51.6,0.6,97.8,0.72,44.9,7,Highly Recommended
Bagasse (Sugarcane),21.2,2.6,95.3,1.17,59.9,6,Highly Recommended
Bagasse (Sugarcane),31.4,5.9,98.7,0.98,50.4,7,Highly Recommended
Recycled Cardboard,15.3,5.8,93.4,1.01,96.6,3,Highly Recommended
Bagasse (Sugarcane),26.2,0.8,99.9,1.11,52.8,5,Highly Recommended
Bioplastic (PLA),56.6,2.4,92.9,2.01,50.7,8,Highly Recommended
Aluminum Foil,26.8,4.3,0,8.35,98,10,Avoid
Recycled Cardboard,17.8,3.7,96.6,1.16,83.4,3,Highly Recommended
Mushroom Mycelium,18.7,5.7,100,0.24,100,6,Highly Recommended
Edible Seaweed Film,10.3,3.1,100,0.51,3,3,Consider as Option
Bagasse (Sugarcane),33.6,5.3,97.4,1.31,50.8,7,Highly Recommended
Aluminum Foil,27.2,2.7,0,10.69,93.5,10,Avoid
Bioplastic (PLA),69.9,2.7,83.9,2.08,56.9,8,Highly Recommended
Bioplastic (PLA),59.6,6.4,88.7,2.37,42.4,8,Consider as Option
Virgin Plastic (PP),67.5,1.4,3.6,4.67,25.9,10,Avoid
Virgin Plastic (PP),61,6.7,3.5,3.99,13.4,10,Avoid
Edible Seaweed Film,7.6,2.2,100,0.46,1.6,4,Consider as Option
Virgin Plastic (PP),77.3,4.7,3.3,4.99,18.6,10,Avoid
Mushroom Mycelium,14.3,9,100,0.19,100,4,Highly Recommended
Bagasse (Sugarcane),32.9,6.4,95.7,1.24,63.2,6,Highly Recommended
Aluminum Foil,29.7,3.3,0,11.16,93.8,10,Avoid
