Material_Type,Tensile_Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,Moisture_Barrier_Grade,Cost_per_unit
Virgin Plastic (PP),67.8,9.9,3.3,4.77,26,10,24.412
Bagasse (Sugarcane),40,2.4,97,1.3,67.7,5,13.0446
Bamboo Fiber,52.1,7.5,98.9,1.02,35.6,6,18.2128
Virgin Plastic (PP),68.8,4.4,3.5,5.45,14.8,10,23.2204
Mushroom Mycelium,24.8,5,100,0.14,100,6,8.968
Mushroom Mycelium,23,9.1,100,0.35,100,5,9.7
Aluminum Foil,37.6,3.8,0,10.84,90.1,10,14.6078
Edible Seaweed Film,9.7,2.2,100,0.5,9.4,2,3.8512
Mushroom Mycelium,22.4,1.4,100,0.16,100,4,7.172
Virgin Plastic (PP),75,2.8,1.6,5.62,10.5,10,24.643
Edible Seaweed Film,14.3,3.1,100,0.45,3.9,2,5.5022
Edible Seaweed Film,11.1,3.1,100,0.59,8.1,3,4.5618
Virgin Plastic (PP),84.7,5.4,3.5,4.36,23.6,10,28.0548
Virgin Plastic (PP),70,8,2.3,4.74,24.9,10,24.4982
Edible Seaweed Film,7.5,0.5,100,0.2,3,2,2.634
Bioplastic (PLA),70.5,1.2,86.8,2.36,40.6,9,22.1008
Bagasse (Sugarcane),23,9,95.4,1.01,57,7,9.888
Bamboo Fiber,59.4,6.6,97.5,1.05,40.6,6,20.1288
Edible Seaweed Film,11.6,9.8,100,0.5,8.8,3,6.7024
Virgin Plastic (PP),60.6,2.9,0.6,4.36,24.5,10,20.073
Bamboo Fiber,55.3,2.9,99.3,0.54,35.3,7,17.6974
Bagasse (Sugarcane),25.8,1.4,97.4,1.08,53.5,6,8.469
Bamboo Fiber,57.3,8.7,96.2,0.99,39.9,6,20.1182
Bioplastic (PLA),54.7,6.3,91.4,2.01,54,9,18.794
Mushroom Mycelium,16.2,3.2,100,0.18,100,5,5.856
Recycled Cardboard,34.2,4.2,94.6,1.36,88.9,5,11.8142
Bioplastic (PLA),66.7,6.4,86.3,2.41,41.7,9,22.5286
Mushroom Mycelium,11.7,5.8,100,0.18,100,5,5.286
Mushroom Mycelium,21.2,2.1,100,0.19,100,4,7.028
Bioplastic (PLA),52.6,6.6,80.2,2.33,57.9,9,18.3102
Bagasse (Sugarcane),27.2,6.5,97,1.16,67.2,5,10.4076
Edible Seaweed Film,13.4,0.9,100,0.36,1.8,3,4.5584
Recycled Cardboard,21.8,8.1,90.8,1.48,89.8,3,9.2864
Edible Seaweed Film,5.6,5.3,100,0.58,7.9,3,3.5702
Recycled Cardboard,30.9,2.6,96.5,1.2,80.1,5,10.3298
Aluminum Foil,42.3,4,0,9.86,98,10,15.866
Bioplastic (PLA),58.5,6.9,81.6,1.71,48.5,9,20.065
Bioplastic (PLA),53.8,4.9,88.7,1.77,43,8,18.078
Recycled Cardboard,27,2.5,92.7,1.25,92.6,3,9.1148
Edible Seaweed Film,11.1,8.8,100,0.27,9.1,3,6.2058
Aluminum Foil,24.3,9.5,0,8.93,92.7,10,11.9406
Recycled Cardboard,16.2,7.1,99,0.81,93.6,5,7.1648
Bagasse (Sugarcane),31.9,6.1,95.8,0.97,67.2,7,11.6596
Aluminum Foil,29.7,6.4,0,10.3,90.1,10,12.9098
Mushroom Mycelium,10.4,8,100,0.38,100,6,5.596
Bagasse (Sugarcane),20.1,0.7,95.9,1.36,60.1,7,6.5918
Bioplastic (PLA),71.3,8.4,91.8,2.42,57.9,8,24.4782
Bamboo Fiber,47.3,9.5,99.1,1.05,44.5,7,17.361
Bamboo Fiber,46.9,1,98.1,0.95,45,6,14.67
Mushroom Mycelium,19.2,2,100,0.23,100,6,6.406
Bamboo Fiber,49.1,8.4,99,1.06,35.4,8,17.5912
Bamboo Fiber,54.3,0.7,98.8,0.59,35.4,7,16.7472
Edible Seaweed Film,14.8,8.2,100,0.47,2.9,2,7.1882
Mushroom Mycelium,16.5,0.7,100,0.4,100,5,5.24
Aluminum Foil,35.2,2.4,0,10.23,93.8,10,13.3384
Recycled Cardboard,29.4,0.5,95.4,1.49,87.2,5,9.2936
Edible Seaweed Film,13,8,100,0.57,5.5,2,6.603
Bamboo Fiber,55.3,1.5,95.8,0.88,34.7,7,17.3466
Virgin Plastic (PP),65.8,4.1,2.8,4.42,23.9,10,22.0062
Edible Seaweed Film,10.1,8.1,100,0.25,0.1,3,5.7098
Virgin Plastic (PP),82.4,6.5,0.9,4.64,16.6,10,27.7648
Bagasse (Sugarcane),36.9,4.3,99.3,1.36,55.6,5,12.7208
Mushroom Mycelium,21.3,5.3,100,0.18,100,6,8.016
Edible Seaweed Film,14.1,1.3,100,0.48,2.6,4,4.9108
Bagasse (Sugarcane),28.2,6,95.1,1.4,68.3,6,10.6034
Recycled Cardboard,17.1,1.9,99.8,0.98,94.3,5,5.9074
Bagasse (Sugarcane),34.8,6.1,95.3,1.27,56.7,7,12.6106
Edible Seaweed Film,5.1,4.9,100,0.24,7.3,2,3.2334
Aluminum Foil,40.2,0.6,0,8.75,98.6,10,13.9928
Aluminum Foil,40,3.3,0,8.08,91,10,14.624
Bioplastic (PLA),73.8,4.6,80.9,1.76,54.1,8,23.9638
Mushroom Mycelium,19.8,7.2,100,0.13,100,5,8.126
Aluminum Foil,43.2,8.1,0,9.15,91.7,10,17.2366
Mushroom Mycelium,20,8.4,100,0.19,100,5,8.558
Virgin Plastic (PP),72.3,5.7,2.3,5.23,29.7,10,24.5866
Virgin Plastic (PP),80.9,8.1,1.9,4.85,23.9,10,27.8222
Bioplastic (PLA),53,3,93.2,2.42,50.4,8,17.3832
Virgin Plastic (PP),90,0.5,3,3.85,10.1,10,28.0998
Virgin Plastic (PP),89.8,8.6,2.9,5.12,25.6,10,30.6928
Virgin Plastic (PP),79.6,7.8,1.8,5.12,19.5,10,27.405
Bamboo Fiber,59.6,2.6,98.3,1.09,47,7,18.984
Bioplastic (PLA),60.8,3.7,94.1,2.28,53.9,8,19.8982
Edible Seaweed Film,7.5,8.6,100,0.31,1.8,4,5.0884
Bagasse (Sugarcane),32.3,5.9,99.4,1.02,59.7,7,11.7446
Edible Seaweed Film,5.2,5.1,100,0.49,3.4,3,3.3812
Mushroom Mycelium,13.4,9.7,100,0.11,100,6,6.952
Aluminum Foil,44.8,5.9,0,10.29,97.3,10,17.2734
Mushroom Mycelium,17.9,2.2,100,0.16,100,5,6.062
Aluminum Foil,27.7,6.3,0,8.97,92.2,10,12.0096
Bamboo Fiber,45,0.8,97.1,0.85,45.3,8,14.0194
Aluminum Foil,37.5,1.3,0,9.61,93.7,10,13.5746
Virgin Plastic (PP),65.1,9.7,3.7,5.93,10.1,10,23.8058
Mushroom Mycelium,17.4,1.3,100,0.32,100,5,5.674
Recycled Cardboard,26.6,7.6,93.5,1.25,96,3,10.518
Recycled Cardboard,27.6,1.8,98.7,1.44,83.8,4,9.1404
Bamboo Fiber,43.7,4.5,95.9,1.18,30,7,14.836
Virgin Plastic (PP),60.7,5.8,0.2,4.87,15.7,10,21.0926
Mushroom Mycelium,23,3.3,100,0.35,100,6,7.96
Virgin Plastic (PP),80.4,3.3,4.1,4.7,19.2,10,26.2116
Virgin Plastic (PP),60.3,8,1.7,3.71,24.8,10,21.3824
Virgin Plastic (PP),88,5,1.3,4.31,21.1,10,28.9198
Bioplastic (PLA),54.8,3.3,82.6,1.93,53.8,9,17.9084
Bamboo Fiber,44.7,7.9,98.1,0.92,30.2,8,16.1036
Recycled Cardboard,28.5,4.8,93.4,1.14,94.2,3,10.2296
Bagasse (Sugarcane),26.7,1,99.3,1.36,69.7,7,8.6426
Aluminum Foil,43.4,5.2,0,10.5,90.5,10,16.699
Bagasse (Sugarcane),34.6,4.8,95.3,1.02,54.8,5,12.1144
Bioplastic (PLA),65.5,1.6,91.2,1.64,53,8,20.552
Recycled Cardboard,29.8,8.6,94.9,1.3,97.7,5,11.7846
Aluminum Foil,31.3,0.7,0,8.15,90.7,10,11.2486
Recycled Cardboard,15.4,7.7,95.8,1.12,90.9,3,7.1722
Bamboo Fiber,49,3.2,99.1,0.7,49.3,7,15.9014
Bagasse (Sugarcane),24.6,2.7,97.3,1,68.6,6,8.4528
Recycled Cardboard,32.4,3.7,98.7,1.03,92.7,5,11.0506
Aluminum Foil,38.2,5.6,0,9.62,99.1,10,15.0658
Recycled Cardboard,34.4,0.8,94,1.32,99.7,3,10.8246
Mushroom Mycelium,17.6,1.3,100,0.37,100,5,5.744
Bioplastic (PLA),56.4,9.9,89.8,2.09,51,8,20.406
Aluminum Foil,43.4,6,0,10.77,95.6,10,16.9828
Virgin Plastic (PP),61.4,5,1.5,4.3,13.6,10,20.9528
Edible Seaweed Film,12.9,1.4,100,0.45,5.3,3,4.5694
Bagasse (Sugarcane),38.5,6.9,99.7,1.11,53.1,7,13.9358
Bamboo Fiber,42.8,7,97.9,1.18,45.1,8,15.2858
Mushroom Mycelium,17.2,2,100,0.38,100,4,5.836
Mushroom Mycelium,17.2,4.8,100,0.32,100,5,6.664
Bioplastic (PLA),52.8,5.2,93.8,1.62,41.1,9,17.8418
Bioplastic (PLA),70.6,4.5,85.9,1.93,52.1,8,23.0118
Edible Seaweed Film,8.2,5.8,100,0.34,9.2,3,4.4496
Virgin Plastic (PP),76.4,8.8,0.7,3.6,10.7,10,26.4586
Bioplastic (PLA),71.1,7.9,87.8,1.66,45.4,8,24.1412
Recycled Cardboard,31.5,5.8,93,0.9,81.7,3,11.4066
Aluminum Foil,27.4,2,0,8.35,94.1,10,10.5018
Aluminum Foil,38.3,7.6,0,10.93,99,10,15.958
Recycled Cardboard,34.7,9.5,91.9,1.38,80.4,4,13.5752
Bamboo Fiber,40.1,6.7,96.2,0.73,31.5,6,14.323
Mushroom Mycelium,24.7,7.5,100,0.18,100,4,9.696
Mushroom Mycelium,10.8,4,100,0.29,100,6,4.498
Virgin Plastic (PP),80.8,0.7,3.9,4.95,24.3,10,25.5914
Recycled Cardboard,15.7,6.3,99.9,1.42,86,3,6.912
Edible Seaweed Film,9,10,100,0.21,3.9,3,5.9342
Bagasse (Sugarcane),22.5,6.1,98.9,1.25,63.5,7,8.903
Bioplastic (PLA),69,6.8,86.1,2.29,46.4,8,23.3052
Edible Seaweed Film,12.4,7.8,100,0.32,2.2,4,6.3196
Bamboo Fiber,45.1,3.9,97.1,0.59,30.8,7,14.9564
Bioplastic (PLA),50.3,9.7,80.1,2.44,50.8,9,18.5864
Bamboo Fiber,41.5,5.9,98.9,0.89,36.7,7,14.5246
Bamboo Fiber,48.9,3.5,98.5,1,47.9,6,16.0242
Bamboo Fiber,57.4,1.9,99.4,1.03,38.3,6,18.1194
Edible Seaweed Film,13.5,6.3,100,0.56,1.9,4,6.2482
Virgin Plastic (PP),88.4,7,0.3,4.99,16.9,10,29.7842
Virgin Plastic (PP),69.1,2.2,4.1,5.97,20.7,10,22.7426
Edible Seaweed Film,8.8,5.6,100,0.35,0.7,2,4.5886
Bagasse (Sugarcane),38.3,4.9,96.7,1.34,63.6,7,13.3008
Bagasse (Sugarcane),25.9,9.9,96.6,1.32,54.6,7,11.0948
Aluminum Foil,24.9,4,0,10.6,91.6,10,10.8068
Aluminum Foil,34.3,8.4,0,9.44,92.1,10,14.7138
Virgin Plastic (PP),64.9,4.4,2.5,4.71,11.3,10,21.9094
Recycled Cardboard,17.7,7.2,99.3,1.36,97.5,4,7.747
Edible Seaweed Film,8.8,6.2,100,0.2,0.1,4,4.7398
Bagasse (Sugarcane),32.2,8.1,98.2,1.14,61.2,5,12.3956
Bioplastic (PLA),73.5,4,86.2,2,50.3,9,23.7494
Bioplastic (PLA),55.8,0.9,89.3,1.5,58.5,9,17.393
Bagasse (Sugarcane),21.7,1.6,98.3,1,64,7,7.262
Aluminum Foil,39.5,4.2,0,11.64,94.1,10,15.4498
Bagasse (Sugarcane),34.9,4.2,95.6,1.32,64.9,5,12.0642
Virgin Plastic (PP),64.8,1.9,3.1,6,21.9,10,21.3662
Virgin Plastic (PP),67.6,7.7,2.8,5.66,28.3,10,23.8654
Virgin Plastic (PP),72,6.9,4.7,4.42,20.3,10,24.7134
Recycled Cardboard,30.7,7.1,95.4,1.48,86.8,5,11.6624
Recycled Cardboard,32.3,8.7,92.5,1.36,82.5,5,12.607
Virgin Plastic (PP),66.5,3.4,1.4,4.77,19.6,10,22.0848
Aluminum Foil,38.4,5.4,0,10.59,97.9,10,15.2622
Virgin Plastic (PP),72.2,5.4,1.9,3.82,20.6,10,24.2028
Edible Seaweed Film,9.9,1.3,100,0.32,9.8,4,3.6044
Bagasse (Sugarcane),20.4,3.7,99.7,1.15,54.5,5,7.551
Mushroom Mycelium,21.2,8.7,100,0.12,100,6,8.994
Edible Seaweed Film,6.6,3.9,100,0.48,4.7,3,3.4366
Recycled Cardboard,19.3,8.3,97.8,1.31,98.3,3,8.5454
Bagasse (Sugarcane),29.5,8,97.4,1.07,70,5,11.524
Bioplastic (PLA),52.4,4.8,87.5,2.18,50,9,17.696
Edible Seaweed Film,10.1,2.8,100,0.36,5.9,4,4.1302
Bioplastic (PLA),61.8,7.8,88.4,1.88,42.5,8,21.371
Aluminum Foil,35.8,9.1,0,11.1,93.3,10,15.7034
Aluminum Foil,28.5,1.3,0,10.51,99.6,10,11.0428
Mushroom Mycelium,17.7,3.9,100,0.26,100,5,6.532
Bamboo Fiber,40.6,9.9,98.6,0.56,38.5,7,15.385
Edible Seaweed Film,10.7,0.5,100,0.5,1,4,3.658
Virgin Plastic (PP),77,1.3,2.4,4.01,13.8,10,24.4644
Bioplastic (PLA),69.8,1.4,86,1.86,42.8,8,21.8464
Bioplastic (PLA),64,5.9,91.2,2.17,52.2,8,21.4996
Edible Seaweed Film,5.9,6.1,100,0.36,2.8,3,3.8664
Virgin Plastic (PP),79.4,5.9,2.6,4.9,13.8,10,26.7424
Mushroom Mycelium,11.3,5.7,100,0.11,100,4,5.122
Bioplastic (PLA),59.3,5,85.3,1.84,59.6,8,19.7388
Bagasse (Sugarcane),35.6,9.3,97.3,1.08,61.2,5,13.7636
Bamboo Fiber,54.1,5.2,95.6,0.6,36.4,6,18.0372
Aluminum Foil,23.8,6.8,0,8.15,90.6,10,10.8288
Bagasse (Sugarcane),34.2,3.3,99.3,1.01,56.9,6,11.5382
Mushroom Mycelium,14.5,2.9,100,0.31,100,6,5.282
Aluminum Foil,32.3,7.4,0,10.75,98.9,10,14.0622
Aluminum Foil,27.3,9.5,0,8.78,94.1,10,12.8078
Bagasse (Sugarcane),26,4.9,96.8,1.02,66.1,5,9.5418
Bamboo Fiber,57.6,8.9,95.4,1.02,46.6,8,20.2608
Bagasse (Sugarcane),28.4,1.1,96.6,1.31,61.9,7,9.1882
Recycled Cardboard,25.9,0.9,94.1,1.11,98.8,4,8.2644
Edible Seaweed Film,12.8,5.4,100,0.39,0.9,3,5.7362
Bamboo Fiber,47.8,1.3,98,0.9,39.9,7,15.0302
Recycled Cardboard,25.3,8.5,91.2,1.38,83,3,10.45
Edible Seaweed Film,10.1,0.9,100,0.21,5.8,3,3.5304
Aluminum Foil,32.3,6.7,0,8.81,91.3,10,13.4794
Bagasse (Sugarcane),35.3,2.4,98.9,1.34,50.6,6,11.6768
Bioplastic (PLA),75,4.3,89.4,2.17,48.9,9,24.3262
Virgin Plastic (PP),81,8.7,4.1,5.55,20.6,10,28.1788
Recycled Cardboard,29.2,6.1,90.2,0.93,92.1,4,10.7918
Bagasse (Sugarcane),36.5,7.2,98.3,0.96,55.6,5,13.3908
Bagasse (Sugarcane),37,2.2,98.8,1.09,64.3,7,12.0494
Bioplastic (PLA),67.7,9,93.6,2,52.7,9,23.5046
Edible Seaweed Film,7.8,7,100,0.27,6,2,4.682
Edible Seaweed Film,6,5.7,100,0.51,2.6,2,3.8068
Recycled Cardboard,26,2.6,99.2,1.22,88.3,4,8.8474
Virgin Plastic (PP),72.3,3.3,4.8,4.43,15,10,23.736
Bagasse (Sugarcane),31.4,3.9,98,1.12,58.5,5,10.897
Bagasse (Sugarcane),24.5,7.7,99.9,0.97,52.2,5,9.9496
Mushroom Mycelium,22.7,0.8,100,0.12,100,5,7.074
Bagasse (Sugarcane),30.5,8.4,96.6,1.24,59.7,5,11.9986
Mushroom Mycelium,15.4,4.8,100,0.36,100,6,6.132
Bioplastic (PLA),54.1,9.9,88.9,1.7,49.4,9,19.6412
Bamboo Fiber,53.4,4.4,96.1,0.67,43.4,7,17.5872
Edible Seaweed Film,14.8,9.2,100,0.28,0.4,4,7.4552
Bamboo Fiber,54.6,5.5,99.9,0.89,32.5,7,18.343
Edible Seaweed Film,10.6,2.5,100,0.27,2,3,4.18
Edible Seaweed Film,9.6,3.1,100,0.36,9.3,2,4.0634
Edible Seaweed Film,5.1,3.2,100,0.29,8.6,4,2.7308
Mushroom Mycelium,22.6,7.4,100,0.22,100,5,9.044
Bagasse (Sugarcane),23,7.8,97.1,1.09,60.8,6,9.5364
Recycled Cardboard,19.7,8.4,98.9,1.21,93.2,4,8.6856
Virgin Plastic (PP),75.6,6.5,0.2,4.01,26.1,10,25.5798
Edible Seaweed Film,9,1,100,0.45,2.2,4,3.2856
Bamboo Fiber,53.9,3.5,99.4,0.63,32.6,7,17.4808
Recycled Cardboard,18,8.6,94.7,1.29,85.3,5,8.2674
Bioplastic (PLA),63.5,6.1,83.8,2.37,49.9,9,21.4542
Bioplastic (PLA),65.8,2.4,91.3,2.15,45.4,8,20.9992
Edible Seaweed Film,8.8,4.5,100,0.33,6.5,2,4.243
Aluminum Foil,27.3,7.1,0,10.66,97,10,12.458
Edible Seaweed Film,10.2,1.1,100,0.33,2.7,3,3.6506
Bagasse (Sugarcane),38.1,6,95,1.13,61.8,5,13.5324
Edible Seaweed Film,9.7,1.1,100,0.57,8.7,4,3.5366
Virgin Plastic (PP),68.1,5.5,2.5,5.27,24.8,10,23.2844
Recycled Cardboard,17.8,4.4,91.8,1.2,81.4,4,6.9372
Virgin Plastic (PP),74.6,2.6,0.9,3.51,18.6,10,24.0248
Recycled Cardboard,20,5,92.1,1.31,99.3,5,7.7634
Mushroom Mycelium,12.8,2.6,100,0.2,100,5,4.66
Virgin Plastic (PP),77.1,1.7,4.1,5.67,26.2,10,24.9216
Bagasse (Sugarcane),39.1,9.4,96,1.17,60.4,6,14.8632
Bioplastic (PLA),74.2,2.2,92,2.01,49.5,9,23.423
Aluminum Foil,30.8,4.7,0,11.03,96.3,10,12.8634
Bagasse (Sugarcane),23.3,3.3,97.7,1.14,69.5,6,8.269
Aluminum Foil,22.6,1,0,9.44,96.4,10,8.9752
Recycled Cardboard,26.1,3.1,96.6,0.91,97.2,5,8.9476
Virgin Plastic (PP),87.9,1.1,1.9,4.73,18.2,10,27.8096
Recycled Cardboard,19.7,8.9,95.9,1.21,84.3,3,8.8534
Bamboo Fiber,49.6,1.8,97.2,0.75,48.7,7,15.6726
Recycled Cardboard,32.9,2.5,95.4,0.96,92.6,5,10.8268
Bioplastic (PLA),58.9,2.3,81.1,2.1,46.8,8,18.8864
Aluminum Foil,26.9,3.1,0,10.56,96.2,10,11.1196
Edible Seaweed Film,12.6,9.6,100,0.24,2.3,2,6.9034
Bagasse (Sugarcane),35.1,2.4,96.2,0.92,62.6,6,11.5088
Bamboo Fiber,59.1,3.2,98,1.03,39.7,8,19.0166
Aluminum Foil,40.9,8.6,0,8.33,98.7,10,16.5186
Virgin Plastic (PP),72.4,9.7,4.9,5.94,19.3,10,25.9794
Mushroom Mycelium,17.2,1.8,100,0.16,100,5,5.732
Aluminum Foil,27.5,7.7,0,10.79,99.1,10,12.7198
Bioplastic (PLA),60.9,3,85.6,2.24,51.3,8,19.7154
Virgin Plastic (PP),81.4,3.3,1.7,4.23,25.1,10,26.4058
Edible Seaweed Film,8.9,6.1,100,0.44,4.1,2,4.7798
Recycled Cardboard,33.2,6.3,99.2,1.29,85.4,3,12.1372
Recycled Cardboard,34.2,1.4,93,1.05,80.6,3,10.9288
Bamboo Fiber,48.2,6.1,97.9,0.83,34.2,8,16.5876
Aluminum Foil,35.4,1.1,0,10.01,91.1,10,12.9698
Aluminum Foil,33.9,3.7,0,11.14,95.9,10,13.5162
Aluminum Foil,26.5,7.6,0,9.29,97.4,10,12.0932
Bagasse (Sugarcane),20.5,9.8,98.2,1.24,59.1,7,9.4198
Bamboo Fiber,58,5.2,99.2,0.93,46.1,7,19.2538
Bamboo Fiber,54.6,9,95.4,0.96,37.2,6,19.3976
Aluminum Foil,40.6,4,0,8.26,93,10,15.046
Virgin Plastic (PP),61.1,0.5,1.2,3.53,16.6,10,19.3528
Recycled Cardboard,18.7,8.3,96.7,1.43,98,5,8.39
Aluminum Foil,35.3,9,0,11.34,98.3,10,15.5614
Bagasse (Sugarcane),26.5,4.3,97.6,1.21,54.1,6,9.5738
Recycled Cardboard,31,7.5,94.1,1.17,96.1,3,11.7918
Bagasse (Sugarcane),30,2,99,1.27,62.4,5,9.9292
Edible Seaweed Film,11.9,7.1,100,0.32,5.3,4,5.9534
Bagasse (Sugarcane),28.6,4.5,98.3,1.14,64.6,5,10.2288
Edible Seaweed Film,9.4,4.5,100,0.28,6.8,2,4.4124
Virgin Plastic (PP),85.2,8.8,2.7,5.9,18.4,10,29.5432
Recycled Cardboard,32.1,6.7,90.9,0.83,93.1,3,11.8198
Bioplastic (PLA),72.4,2.1,81,1.57,55.9,9,22.7522
Recycled Cardboard,33.6,5.3,97.7,1.27,88.9,3,11.9462
Recycled Cardboard,26.5,4.8,97.6,0.91,93.9,5,9.5842
Aluminum Foil,23.7,8.9,0,9.3,91.2,10,11.6576
Aluminum Foil,39,6.4,0,10.01,95.8,10,15.6304
Mushroom Mycelium,15.1,5.4,100,0.3,100,5,6.21
Bagasse (Sugarcane),28.6,2,98.9,1.02,50.3,7,9.4834
Bagasse (Sugarcane),39.3,6.7,99.7,0.98,60.4,7,14.0752
Bioplastic (PLA),56.4,6.5,88.4,1.86,41.3,8,19.3594
Aluminum Foil,25.3,7.2,0,9.43,97.4,10,11.6412
Recycled Cardboard,31.3,1.2,96.7,1.14,99.6,4,9.9788
Bamboo Fiber,53.9,6.1,98,1.15,32.4,7,18.3652
Bioplastic (PLA),54.4,2.7,80.2,1.97,55.4,9,17.6132
Aluminum Foil,31.7,4,0,8.25,92.4,10,12.3752
Edible Seaweed Film,13.5,4.7,100,0.42,1.2,4,5.7416
Virgin Plastic (PP),83.4,8.1,1.6,4.27,20.5,10,28.463
Bioplastic (PLA),53,0.7,92.1,2.13,51.6,9,16.6328
Bioplastic (PLA),68.3,1.7,81.6,2.16,56,9,21.52
Bioplastic (PLA),53.1,7.5,87,2.5,50,9,18.78
Edible Seaweed Film,9.5,7.1,100,0.46,2.3,3,5.2674
Bioplastic (PLA),74.3,5.4,89.7,1.96,58.7,8,24.3846
Bioplastic (PLA),66,0.8,85,1.79,48.3,8,20.5014
Bagasse (Sugarcane),24.5,7.9,98,1.07,52.8,6,10.0284
Bamboo Fiber,51,6.3,95.4,0.73,40,7,17.456
Mushroom Mycelium,19.9,7.5,100,0.23,100,6,8.266
Bamboo Fiber,42.3,6.6,98.6,1.11,48.3,8,14.9954
Edible Seaweed Film,11.8,4.8,100,0.28,0.4,4,5.2352
Virgin Plastic (PP),68.6,8.5,0.4,4.6,26.5,10,24.197
Edible Seaweed Film,9.5,9.3,100,0.22,0.9,2,5.8822
Edible Seaweed Film,5.3,8.8,100,0.48,8.2,4,4.5096
Bagasse (Sugarcane),28.2,5.1,97.8,0.98,53.2,5,10.2796
Bagasse (Sugarcane),26.1,5.4,96.4,0.9,69.1,5,9.6918
Mushroom Mycelium,12.5,6.6,100,0.19,100,5,5.768
Edible Seaweed Film,5.1,2.9,100,0.21,2.7,2,2.6366
Bamboo Fiber,46.4,5.3,99.4,0.51,48.3,8,15.7154
Edible Seaweed Film,8.3,5.2,100,0.4,6.4,4,4.3172
Aluminum Foil,26.2,5.8,0,8.93,92.6,10,11.4008
Aluminum Foil,24.4,6.3,0,8.46,92.3,10,10.9174
Virgin Plastic (PP),81,0.7,2.2,5.1,19.6,10,25.6908
Recycled Cardboard,23.1,1.3,97.8,1.42,85.8,4,7.6324
Aluminum Foil,40.3,6.2,0,11.07,92.9,10,16.1782
Virgin Plastic (PP),76.5,7.3,5,3.52,26,10,25.992
Aluminum Foil,38.5,8.7,0,8.13,92.7,10,15.8006
Mushroom Mycelium,14.5,2.3,100,0.15,100,6,5.07
Mushroom Mycelium,19.3,5.7,100,0.31,100,4,7.562
Bioplastic (PLA),60.3,5.4,85,2.47,54.9,8,20.2942
Bagasse (Sugarcane),32.8,9.2,97.5,1.38,56.2,7,12.9636
Edible Seaweed Film,6.1,0.9,100,0.45,6.9,3,2.3762
Recycled Cardboard,33.2,6.8,94.4,1.05,90.8,3,12.2284
Bamboo Fiber,44.6,5.2,96.6,0.54,48.2,6,15.1516
Recycled Cardboard,20.5,9.2,98.3,0.97,93.4,5,9.1172
Aluminum Foil,39.4,5.4,0,9.7,94.5,10,15.391
Mushroom Mycelium,22.8,9.5,100,0.17,100,5,9.724
Aluminum Foil,26.9,8.2,0,10.97,91.8,10,12.7404
Bioplastic (PLA),55.7,4.9,94.8,1.9,44.9,8,18.6702
Mushroom Mycelium,18.6,2.9,100,0.32,100,5,6.514
Recycled Cardboard,30.7,6.3,100,1.22,92.7,4,11.3586
Bagasse (Sugarcane),28.1,4,95.2,1.21,57.5,5,9.957
Virgin Plastic (PP),79.7,3.7,1,5.68,24.8,10,26.3064
Mushroom Mycelium,10.5,9.8,100,0.3,100,4,6.15
Edible Seaweed Film,6.1,5.4,100,0.29,2.4,4,3.7032
Bioplastic (PLA),63.3,7,83,1.63,56.8,8,21.5024
Aluminum Foil,32.9,0.9,0,8.05,94,10,11.762
Recycled Cardboard,29.3,6.4,93.3,1.07,98.6,4,10.9268
Bioplastic (PLA),72.5,6.2,87.7,2.31,52.3,9,24.1674
Bioplastic (PLA),56.6,7.9,82.7,1.9,57.6,9,19.8148
Aluminum Foil,36.6,2.6,0,8.56,97.2,10,13.4776
Virgin Plastic (PP),83.1,8.1,1.3,5.05,17.9,10,28.5342
Bagasse (Sugarcane),31,8.1,96.5,1.2,59.2,5,12.0516
Bamboo Fiber,51.8,9.3,99.9,1.1,30,7,18.69
Edible Seaweed Film,13.7,2.2,100,0.48,1.6,2,5.0628
Aluminum Foil,36.9,8.9,0,11.85,94.9,10,16.1202
Bioplastic (PLA),61.8,7.3,83.9,1.57,41.4,9,21.1612
Recycled Cardboard,16.9,6.4,97.1,0.92,98,3,7.178
Bamboo Fiber,47.6,2.4,95.9,0.85,45.7,8,15.2786
Bagasse (Sugarcane),21.3,9.4,98.6,1.21,65.8,6,9.5204
Recycled Cardboard,33.1,5.2,98.2,1.38,99.2,5,11.7676
Aluminum Foil,32,8.9,0,8.2,99.4,10,13.9112
Virgin Plastic (PP),82.3,4.1,4.9,4.67,14.1,10,27.0258
Bioplastic (PLA),73.4,1.6,81.6,2.16,49.1,8,23.0338
Aluminum Foil,25.2,2.6,0,8.18,96.1,10,9.9838
Mushroom Mycelium,10.9,4.1,100,0.39,100,6,4.578
Edible Seaweed Film,11.8,3.2,100,0.48,2.4,2,4.7912
Bamboo Fiber,57.8,6.9,96.5,1.04,48.5,8,19.721
Bamboo Fiber,41.8,1.7,97,0.74,32.3,6,13.3334
Recycled Cardboard,16.4,9.7,96,0.98,84.9,4,8.0562
Aluminum Foil,20.3,9.1,0,11.9,96.4,10,11.2072
Mushroom Mycelium,12,9.1,100,0.19,100,4,6.368
Virgin Plastic (PP),88.5,2.3,0.8,4.13,27.4,10,28.2112
Edible Seaweed Film,11.8,4.2,100,0.22,7.4,3,5.0292
Virgin Plastic (PP),78.9,5.9,2.3,4.75,16.7,10,26.5566
